Category,Dish Name,Aliases (some not all),Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Cheat,Calabrian Vodka Pasta,"vodka pasta, vodka, pasta, calabrian",Bronzed chicken and Calabrian vodka pasta with roasted red peppers and onions,Blackened chicken and a rich Calabrian vodka pasta with slow-roasted red peppers and caramelized onions.,Dairy Free,Gluten (Pasta),727,56,37,7,43
Chicken,Chicken Tikka,"tikka, chicken tikka",Chicken tikka and mint chutney with saffron roasted cauliflower and roasted eggplant over cardamom basmati rice,Chicken tikka and a fresh mint chutney with saffron roasted cauliflower and roasted eggplant over cardamom basmati rice.,Dairy (Yogurt),Gluten Free,754,56,37,11,50
Beef,Carne Asada Steak,"carne asada, asada, steak, carne",Carne asada steak and chimichurri with roasted sweet plantains and pickled red onions over sazon rice,Carne asada steak and a decadent chimichurri with roasted sweet plantains and pickled red onions over sazon rice.,Dairy Free,Gluten Free,761,58,34,5,56
Seafood,Asian Garlic Shrimp,"garlic shrimp, shrimp, asian shrimp",Asian garlic shrimp and hot honey sauce with spicy broccoli and carrots over cilantro lime rice,Asian garlic shrimp and a hot honey reduction with spicy broccoli and roasted carrots over cilantro lime rice.,Dairy Free,Gluten Free,613,55,15,9,64
Broth,Chicken Bone Broth,"broth, bone broth",Our classic chicken bone broth slow-simmered for 24 hours,Our classic chicken bone broth slow-simmered for 24 hours with fresh herbs and spices,Dairy Free,Gluten Free,419,41,26,,6
Chia,Vanilla Chia Pudding,"chia, pudding, chia pudding",Vanilla chia pudding with granola and fresh blueberries,A creamy vanilla chia pudding sweetened with maple syrup and topped with Chef's granola and fresh organic blueberries.,Dairy (Yogurt),Gluten Free,358,24,12,13,38
